names	G140	G240	G335	G415	G505	G585	G665	G745	G825	G910	G1000
ROT2	0	0	0.09	0.34	0.52	0.47	0.32	0.14	0.05	0.01	0.03
DOT6	0	0.01	0.05	0.27	0.29	0.33	0.39	0.7	0.9	0.93	0.99
PMD1	0	0	0.05	0.44	0.55	0.56	0.31	0.19	0.02	0.13	0.02
PCT1	0	0	0.03	0.31	0.34	0.29	0.56	0.81	0.89	0.96	0.94
YUR1	0	0	0.02	0.29	0.33	0.39	0.49	0.76	0.87	0.9	0.98
SPC3	0.11	0.33	0.54	0.38	0.23	0.25	0.43	0.75	0.94	0.95	0.93
HXT14	0	0	0	0	0	0	0.07	0.15	0.31	0.52	0.61
WHI2A	0	0.06	0.29	0.38	0.51	0.41	0.28	0.26	0.13	0.02	0.03
WHI2B	0	0	0	0	0	0.08	0.39	0.75	0.98	0.91	0.96
STE4	0	0	0	0	0	0	0.03	0.11	0.13	0.26	0.54
YPR117W	0.02	0.17	0.33	0.11	0.02	0.05	0.04	0.06	0	0	0
YPR196W	0	0	0.08	0.45	0.56	0.41	0.31	0.18	0.03	0.04	0.06
